Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200313,S92000003,4,15,57,0,,0,,0,,15,57,0,0,0,0
20200313,S92000003,5,13,59,0,,0,,0,,13,59,0,0,0,0
20200314,S92000003,1,5,22,1,,1,,0.0923593851451012,,5,22,0,0,0,0
20200314,S92000003,2,5,21,0,,0,,0,,5,21,0,0,0,0
20200314,S92000003,3,1,28,0,,0,,0,,1,28,0,0,0,0
20200314,S92000003,4,6,63,1,,1,,0.08972142395077523,,6,63,0,0,0,0
20200314,S92000003,5,2,61,0,,0,,0,,2,61,0,0,0,0
20200315,S92000003,1,2,24,0,,1,,0.0923593851451012,,2,24,0,0,0,0
20200315,S92000003,2,2,23,0,,0,,0,,2,23,0,0,0,0
20200315,S92000003,3,3,31,0,,0,,0,,3,31,0,0,0,0
20200315,S92000003,4,0,63,0,,1,,0.08972142395077523,,0,63,0,0,,0
20200315,S92000003,5,5,66,0,,0,,0,,5,66,0,0,0,0
20200316,S92000003,1,5,29,0,,1,,0.0923593851451012,,5,29,0,0,0,0
20200316,S92000003,2,4,27,0,,0,,0,,4,27,0,0,0,0
20200316,S92000003,3,5,36,1,,1,,0.09160185072379202,,5,36,0,0,0,0
20200316,S92000003,4,2,65,0,,1,,0.08972142395077523,,2,65,0,0,0,0
20200316,S92000003,5,5,71,0,,0,,0,,5,71,0,0,0,0
20200317,S92000003,1,9,38,0,,1,,0.0923593851451012,,9,38,0,0,0,0
20200317,S92000003,2,10,37,1,,1,,0.09226998937049724,,10,37,0,0,0,0
20200317,S92000003,3,5,41,0,,1,,0.09160185072379202,,5,41,0,0,0,0
20200317,S92000003,4,6,71,0,,1,,0.08972142395077523,,6,71,0,0,0,0
20200317,S92000003,5,13,84,1,,1,,0.09146996812271611,,13,84,0,0,0,0
20200318,S92000003,1,11,49,0,,1,,0.0923593851451012,,11,49,0,0,0,0
20200318,S92000003,2,7,44,0,,1,,0.09226998937049724,,7,44,0,0,0,0
20200318,S92000003,3,4,45,0,,1,,0.09160185072379202,,4,45,0,0,0,0
20200318,S92000003,4,9,80,0,,1,,0.08972142395077523,,9,80,0,0,0,0
20200318,S92000003,5,10,94,0,,1,,0.09146996812271611,,10,94,0,0,0,0
20200319,S92000003,1,11,60,1,,2,,0.1847187702902024,,11,60,0,0,0,0
20200319,S92000003,2,10,54,1,,2,,0.18453997874099445,,10,54,0,0,0,0
20200319,S92000003,3,9,54,0,,1,,0.09160185072379202,,9,54,0,0,0,0
20200319,S92000003,4,9,89,0,,1,,0.08972142395077523,,9,89,0,0,0,0
20200319,S92000003,5,9,103,1,,2,,0.18293993624543223,,9,103,0,0,0,0
20200320,S92000003,1,10,70,3,,5,,0.46179692572550607,,10,70,0,0,0,0
20200320,S92000003,2,12,66,1,,3,,0.27680996811149167,,12,66,0,0,0,0
20200320,S92000003,3,23,77,0,,1,,0.09160185072379202,,23,77,0,0,0,0
20200320,S92000003,4,20,109,1,,2,,0.17944284790155046,,20,109,0,0,0,0
20200320,S92000003,5,17,120,0,,2,,0.18293993624543223,,17,120,0,0,0,0
20200321,S92000003,1,6,76,2,,7,,0.6465156960157085,,6,76,0,0,0,0
20200321,S92000003,2,14,80,1,,4,,0.3690799574819889,,14,80,0,0,0,0
20200321,S92000003,3,15,92,1,,2,,0.18320370144758405,,15,92,0,0,0,0
20200321,S92000003,4,11,120,1,,3,,0.2691642718523257,,11,120,0,0,0,0
20200321,S92000003,5,20,140,1,,3,,0.2744099043681483,,20,140,0,0,0,0
20200322,S92000003,1,11,87,0,,7,,0.6465156960157085,,11,87,0,0,0,0
20200322,S92000003,2,14,94,2,,6,,0.5536199362229833,,14,94,0,0,0,0
20200322,S92000003,3,15,107,0,,2,,0.18320370144758405,,15,107,0,0,0,0
20200322,S92000003,4,14,134,1,,4,,0.3588856958031009,,14,134,0,0,0,0
20200322,S92000003,5,18,158,2,,5,,0.4573498406135805,,18,158,0,0,0,0
20200323,S92000003,1,26,113,1,,8,,0.7388750811608097,,26,113,0,0,0,0
20200323,S92000003,2,32,126,1,,7,,0.6458899255934806,,32,126,0,0,0,0
20200323,S92000003,3,30,137,1,,3,,0.2748055521713761,,30,137,0,0,0,0
20200323,S92000003,4,16,150,0,,4,,0.3588856958031009,,16,150,0,0,0,0
20200323,S92000003,5,31,189,1,,6,,0.5488198087362967,,31,189,0,0,0,0
20200324,S92000003,1,33,146,1,,9,,0.8312344663059109,,33,146,0,0,0,0
20200324,S92000003,2,35,161,3,,10,,0.9226998937049724,,35,161,0,0,0,0
20200324,S92000003,3,25,162,1,,4,,0.3664074028951681,,25,162,0,0,0,0
20200324,S92000003,4,30,180,1,,5,,0.4486071197538762,,30,180,0,0,0,0
20200324,S92000003,5,41,230,1,,7,,0.6402897768590128,,41,230,0,0,0,0
20200325,S92000003,1,42,188,1,,10,,0.923593851451012,,42,188,0,0,0,0
20200325,S92000003,2,32,193,1,,11,,1.0149698830754694,,32,193,0,0,0,0
20200325,S92000003,3,33,195,4,,8,,0.7328148057903362,,33,195,0,0,0,0
20200325,S92000003,4,40,220,1,,6,,0.5383285437046514,,40,220,0,0,0,0
20200325,S92000003,5,34,264,4,,11,,1.0061696493498773,,34,264,0,0,0,0
20200326,S92000003,1,53,241,1,,11,,1.0159532365961133,,53,241,0,0,0,0
20200326,S92000003,2,38,231,4,,15,,1.3840498405574584,,38,231,0,0,0,0
20200326,S92000003,3,33,228,1,,9,,0.8244166565141282,,33,228,0,0,0,0
20200326,S92000003,4,46,266,4,,10,,0.8972142395077524,,46,266,0,0,0,0
20200326,S92000003,5,47,311,2,,13,,1.189109585595309,,47,311,0,0,0,0
20200327,S92000003,1,61,302,1,,12,,1.1083126217412147,,61,302,0,0,0,0
20200327,S92000003,2,51,282,6,,21,,1.9376697767804416,,51,282,0,0,0,0
20200327,S92000003,3,44,272,2,,11,,1.0076203579617122,,44,272,0,0,0,0
20200327,S92000003,4,52,318,1,,11,,0.9869356634585276,,52,318,0,0,0,0
20200327,S92000003,5,65,376,1,,14,,1.2805795537180256,,65,376,0,0,0,0
20200328,S92000003,1,42,344,9,,21,,1.9395470880471255,,42,344,0,0,0,0
20200328,S92000003,2,41,323,7,,28,,2.5835597023739223,,41,323,0,0,0,0
20200328,S92000003,3,37,309,8,,19,,1.7404351637520483,,37,309,0,0,0,0
20200328,S92000003,4,36,354,2,,13,,1.1663785113600782,,36,354,0,0,0,0
20200328,S92000003,5,47,423,3,,17,,1.5549894580861738,,47,423,0,0,0,0
20200329,S92000003,1,50,394,6,,27,,2.4937033989177326,,50,394,0,0,0,0
20200329,S92000003,2,48,371,3,,31,,2.860369670485414,,48,371,0,0,0,0
20200329,S92000003,3,38,347,3,,22,,2.0152407159234245,,38,347,0,0,0,0
20200329,S92000003,4,24,378,2,,15,,1.3458213592616286,,24,378,0,0,0,0
20200329,S92000003,5,34,457,6,,23,,2.1038092668224704,,34,457,0,0,0,0
20200330,S92000003,1,67,461,7,,34,,3.140219094933441,,67,461,0,0,0,0
20200330,S92000003,2,73,444,5,,36,,3.3217196173379002,,73,444,0,0,0,0
20200330,S92000003,3,46,393,11,,33,,3.022861073885137,,46,393,0,0,0,0
20200330,S92000003,4,64,442,2,,17,,1.525264207163179,,64,442,0,0,0,0
20200330,S92000003,5,63,520,5,,28,,2.561159107436051,,63,520,0,0,0,0
20200331,S92000003,1,84,545,12,,46,,4.2485317166746555,,84,545,0,0,0,0
20200331,S92000003,2,79,523,8,,44,,4.059879532301878,,79,523,0,0,0,0
20200331,S92000003,3,42,435,11,,44,,4.030481431846849,,42,435,0,0,0,0
20200331,S92000003,4,63,505,3,,20,,1.7944284790155047,,63,505,0,0,0,0
20200331,S92000003,5,69,589,4,,32,,2.9270389799269156,,69,589,0,0,0,0
20200401,S92000003,1,76,621,13,,59,,5.449203723560972,,76,621,0,0,0,0
20200401,S92000003,2,83,606,10,,54,,4.98257942600685,,83,606,0,0,0,0
20200401,S92000003,3,73,508,7,,51,,4.671694386913393,,73,508,0,0,0,0
20200401,S92000003,4,67,572,10,,30,,2.691642718523257,,67,572,0,0,0,0
20200401,S92000003,5,88,677,6,,38,,3.4758587886632126,,88,677,0,0,0,0
20200402,S92000003,1,67,688,8,,67,,6.188078804721781,,67,688,0,0,0,0
20200402,S92000003,2,89,695,9,,63,,5.813009330341325,,89,695,0,0,0,0
20200402,S92000003,3,78,586,8,,59,,5.404509192703729,,78,586,0,0,0,0
20200402,S92000003,4,70,642,8,,38,,3.4094141101294593,,70,642,0,0,0,0
20200402,S92000003,5,45,722,3,,41,,3.750268693031361,,45,722,0,0,0,0
20200403,S92000003,1,91,779,18,,85,,7.850547737333604,,91,779,0,0,0,0
20200403,S92000003,2,92,787,11,,74,,6.827979213416794,,92,787,0,0,0,0
20200403,S92000003,3,71,657,10,,69,,6.320527699941651,,71,657,0,0,0,0
20200403,S92000003,4,71,713,11,,49,,4.396349773587986,,71,713,0,0,0,0
20200403,S92000003,5,52,774,8,,49,,4.4820284380130895,,52,774,0,0,0,0
20200404,S92000003,1,56,835,5,,90,,8.31234466305911,,56,835,0,0,0,0
20200404,S92000003,2,65,852,9,,83,,7.65840911775127,,65,852,0,0,0,0
20200404,S92000003,3,42,699,2,,71,,6.503731401389234,,42,699,0,0,0,0
20200404,S92000003,4,46,759,4,,53,,4.755235469391088,,46,759,0,0,0,0
20200404,S92000003,5,43,817,7,,56,,5.122318214872102,,43,817,0,0,0,0
20200405,S92000003,1,61,896,13,,103,,9.513016669945426,,61,896,0,0,0,0
20200405,S92000003,2,46,898,15,,98,,9.042458958308728,,46,898,0,0,0,0
20200405,S92000003,3,58,757,5,,76,,6.961740655008194,,58,757,0,0,0,0
20200405,S92000003,4,32,791,8,,61,,5.473006860997289,,32,791,0,0,0,0
20200405,S92000003,5,28,845,6,,62,,5.671138023608399,,28,845,0,0,0,0
20200406,S92000003,1,102,998,20,,123,,11.36020437284745,,102,998,0,0,0,0
20200406,S92000003,2,88,986,14,,112,,10.33423880949569,,88,986,0,0,0,0
20200406,S92000003,3,75,832,14,,90,,8.244166565141281,,75,832,0,0,0,0
20200406,S92000003,4,57,848,8,,69,,6.190778252603491,,57,848,0,0,0,0
20200406,S92000003,5,78,923,7,,69,,6.311427800467411,,78,923,0,0,0,0
20200407,S92000003,1,95,1093,17,,140,,12.930313920314171,,95,1093,0,0,0,0
20200407,S92000003,2,72,1058,13,,125,,11.533748671312154,,72,1058,0,0,0,0
20200407,S92000003,3,70,902,10,,100,,9.160185072379202,,70,902,0,0,0,0
20200407,S92000003,4,67,915,6,,75,,6.729106796308143,,67,915,0,0,0,0
20200407,S92000003,5,44,967,3,,72,,6.585837704835559,,44,967,0,0,0,0
20200408,S92000003,1,77,1170,20,,160,,14.777501623216194,,77,1170,0,0,0,0
20200408,S92000003,2,74,1132,17,,142,,13.102338490610606,,74,1132,0,0,0,0
20200408,S92000003,3,59,961,9,,109,,9.984601728893333,,59,961,0,0,0,0
20200408,S92000003,4,73,988,5,,80,,7.177713916062019,,73,988,0,0,0,0
20200408,S92000003,5,55,1022,2,,74,,6.768777641080992,,55,1022,0,0,0,0
20200409,S92000003,1,82,1252,20,,180,,16.62468932611822,,82,1252,0,0,0,0
20200409,S92000003,2,69,1201,16,,158,,14.578658320538562,,69,1201,0,0,0,0
20200409,S92000003,3,49,1010,7,,116,,10.625814683959875,,49,1010,0,0,0,0
20200409,S92000003,4,54,1042,16,,96,,8.613256699274423,,54,1042,0,0,0,0
20200409,S92000003,5,48,1070,7,,81,,7.409067417940006,,48,1070,0,0,0,0
20200410,S92000003,1,73,1325,20,,200,,18.47187702902024,,73,1325,0,0,0,0
20200410,S92000003,2,78,1279,11,,169,,15.593628203614031,,78,1279,0,0,0,0
20200410,S92000003,3,56,1066,7,,123,,11.26702763902642,,56,1066,0,0,0,0
20200410,S92000003,4,64,1106,14,,110,,9.869356634585277,,64,1106,0,0,0,0
20200410,S92000003,5,53,1123,5,,86,,7.866417258553586,,53,1123,0,0,0,0
20200411,S92000003,1,47,1372,14,,214,,19.764908421051658,,47,1372,0,0,0,0
20200411,S92000003,2,41,1320,15,,184,,16.97767804417149,,41,1320,0,0,0,0
20200411,S92000003,3,32,1098,8,,131,,11.999842444816757,,32,1098,0,0,0,0
20200411,S92000003,4,28,1134,7,,117,,10.497406602240703,,28,1134,0,0,0,0
20200411,S92000003,5,36,1159,6,,92,,8.415237067289882,,36,1159,0,0,0,0
20200412,S92000003,1,56,1428,11,,225,,20.780861657647772,,56,1428,0,0,0,0
20200412,S92000003,2,52,1372,8,,192,,17.715837959135467,,52,1372,0,0,0,0
20200412,S92000003,3,36,1134,18,,149,,13.648675757845012,,36,1134,0,0,0,0
20200412,S92000003,4,35,1169,4,,121,,10.856292298043805,,35,1169,0,0,0,0
20200412,S92000003,5,41,1200,7,,99,,9.055526844148895,,41,1200,0,0,0,0
20200413,S92000003,1,79,1507,10,,235,,21.704455509098786,,79,1507,0,0,0,0
20200413,S92000003,2,73,1445,10,,202,,18.63853785284044,,73,1445,0,0,0,0
20200413,S92000003,3,76,1210,7,,156,,14.289888712911557,,76,1210,0,0,0,0
20200413,S92000003,4,74,1243,7,,128,,11.48434226569923,,74,1243,0,0,0,0
20200413,S92000003,5,54,1254,7,,106,,9.695816621007909,,54,1254,0,0,0,0
20200414,S92000003,1,82,1589,12,,247,,22.81276813084,,82,1589,0,0,0,0
20200414,S92000003,2,77,1522,14,,216,,19.9303177040274,,77,1522,0,0,0,0
20200414,S92000003,3,55,1265,11,,167,,15.297509070873268,,55,1265,0,0,0,0
20200414,S92000003,4,69,1312,5,,133,,11.932949385453108,,69,1312,0,0,0,0
20200414,S92000003,5,63,1317,9,,115,,10.519046334112351,,63,1317,0,0,0,0
20200415,S92000003,1,79,1668,12,,259,,23.921080752581215,,79,1668,0,0,0,0
20200415,S92000003,2,74,1596,10,,226,,20.853017597732375,,74,1596,0,0,0,0
20200415,S92000003,3,62,1327,11,,178,,16.30512942883498,,62,1327,0,0,0,0
20200415,S92000003,4,64,1376,7,,140,,12.560999353108532,,64,1376,0,0,0,0
20200415,S92000003,5,50,1367,2,,117,,10.701986270357784,,50,1367,0,0,0,0
20200416,S92000003,1,112,1780,11,,270,,24.937033989177326,,112,1780,0,0,0,0
20200416,S92000003,2,91,1687,12,,238,,21.96025747017834,,91,1687,0,0,0,0
20200416,S92000003,3,75,1402,4,,182,,16.67153683173015,,75,1402,0,0,0,0
20200416,S92000003,4,88,1464,9,,149,,13.36849216866551,,88,1464,0,0,0,0
20200416,S92000003,5,58,1425,7,,124,,11.342276047216798,,58,1425,0,0,0,0
20200417,S92000003,1,92,1872,12,,282,,26.045346610918543,,92,1872,0,0,0,0
20200417,S92000003,2,88,1775,8,,246,,22.698417385142317,,88,1775,0,0,0,0
20200417,S92000003,3,56,1458,5,,187,,17.12954608534911,,56,1458,0,0,0,0
20200417,S92000003,4,99,1563,8,,157,,14.08626356027171,,99,1563,0,0,0,0
20200417,S92000003,5,56,1481,5,,129,,11.799625887830375,,56,1481,0,0,0,0
20200418,S92000003,1,60,1932,15,,297,,27.43073738809506,,60,1932,0,0,0,0
20200418,S92000003,2,64,1839,9,,255,,23.52884728947679,,64,1839,0,0,0,0
20200418,S92000003,3,49,1507,7,,194,,17.770759040415655,,49,1507,0,0,0,0
20200418,S92000003,4,51,1614,14,,171,,15.342363495582566,,51,1614,0,0,0,0
20200418,S92000003,5,40,1521,7,,136,,12.43991566468939,,40,1521,0,0,0,0
20200419,S92000003,1,44,1976,18,,315,,29.09320632070688,,44,1976,0,0,0,0
20200419,S92000003,2,41,1880,12,,267,,24.63608716192276,,41,1880,0,0,0,0
20200419,S92000003,3,29,1536,6,,200,,18.320370144758403,,29,1536,0,0,0,0
20200419,S92000003,4,22,1636,6,,177,,15.88069203928722,,22,1636,0,0,0,0
20200419,S92000003,5,23,1544,4,,140,,12.805795537180256,,23,1544,0,0,0,0
20200420,S92000003,1,72,2048,16,,331,,30.5709564830285,,72,2048,0,0,0,0
20200420,S92000003,2,86,1966,14,,281,,25.92786701310972,,86,1966,0,0,0,0
20200420,S92000003,3,51,1587,10,,210,,19.236388651996325,,51,1587,0,0,0,0
20200420,S92000003,4,62,1698,10,,187,,16.77790627879497,,62,1698,0,0,0,0
20200420,S92000003,5,77,1621,11,,151,,13.811965186530132,,77,1621,0,0,0,0
20200421,S92000003,1,94,2142,11,,342,,31.586909719624614,,94,2142,0,0,0,0
20200421,S92000003,2,86,2052,15,,296,,27.311916853667174,,86,2052,0,0,0,0
20200421,S92000003,3,68,1655,6,,216,,19.785999756339077,,68,1655,0,0,0,0
20200421,S92000003,4,65,1763,8,,195,,17.49567767040117,,65,1763,0,0,0,0
20200421,S92000003,5,86,1707,11,,162,,14.818134835880011,,86,1707,0,0,0,0
20200422,S92000003,1,81,2223,11,,353,,32.602862956220726,,81,2223,0,0,0,0
20200422,S92000003,2,72,2124,6,,302,,27.86553678989016,,72,2124,0,0,0,0
20200422,S92000003,3,61,1716,10,,226,,20.702018263577,,61,1716,0,0,0,0
20200422,S92000003,4,68,1831,12,,207,,18.572334757810474,,68,1831,0,0,0,0
20200422,S92000003,5,52,1759,7,,169,,15.458424612739025,,52,1759,0,0,0,0
20200423,S92000003,1,74,2297,11,,364,,33.618816192816844,,74,2297,0,0,0,0
20200423,S92000003,2,81,2205,15,,317,,29.24958663044762,,81,2205,0,0,0,0
20200423,S92000003,3,45,1761,7,,233,,21.343231218643545,,45,1761,0,0,0,0
20200423,S92000003,4,49,1880,11,,218,,19.559270421269,,49,1880,0,0,0,0
20200423,S92000003,5,63,1822,5,,174,,15.915774453352602,,63,1822,0,0,0,0
20200424,S92000003,1,76,2373,4,,368,,33.988253733397244,,76,2373,0,0,0,0
20200424,S92000003,2,62,2267,14,,331,,30.541366481634583,,62,2267,0,0,0,0
20200424,S92000003,3,61,1822,9,,242,,22.16764787515767,,61,1822,0,0,0,0
20200424,S92000003,4,55,1935,6,,224,,20.097598964973653,,55,1935,0,0,0,0
20200424,S92000003,5,52,1874,5,,179,,16.373124293966185,,52,1874,0,0,0,0
20200425,S92000003,1,45,2418,14,,382,,35.28128512542866,,45,2418,0,0,0,0
20200425,S92000003,2,52,2319,14,,345,,31.833146332821546,,52,2319,0,0,0,0
20200425,S92000003,3,35,1857,7,,249,,22.808860830224216,,35,1857,0,0,0,0
20200425,S92000003,4,27,1962,5,,229,,20.54620608472753,,27,1962,0,0,0,0
20200425,S92000003,5,25,1899,7,,186,,17.013414070825196,,25,1899,0,0,0,0
20200426,S92000003,1,34,2452,11,,393,,36.29723836202477,,34,2452,0,0,0,0
20200426,S92000003,2,50,2369,13,,358,,33.03265619463801,,50,2369,0,0,0,0
20200426,S92000003,3,32,1889,4,,253,,23.175268233119382,,32,1889,0,0,0,0
20200426,S92000003,4,36,1998,8,,237,,21.263977476333732,,36,1998,0,0,0,0
20200426,S92000003,5,18,1917,7,,193,,17.65370384768421,,18,1917,0,0,0,0
20200427,S92000003,1,97,2549,10,,403,,37.22083221347579,,97,2549,0,0,0,0
20200427,S92000003,2,92,2461,16,,374,,34.50897602456597,,92,2461,0,0,0,0
20200427,S92000003,3,79,1968,9,,262,,23.99968488963351,,79,1968,0,0,0,0
20200427,S92000003,4,87,2085,19,,256,,22.96868453139846,,87,2085,0,0,0,0
20200427,S92000003,5,75,1992,6,,199,,18.202523656420507,,75,1992,0,0,0,0
20200428,S92000003,1,94,2643,9,,412,,38.0520666797817,,94,2643,0,0,0,0
20200428,S92000003,2,86,2547,10,,384,,35.43167591827093,,86,2547,0,0,0,0
20200428,S92000003,3,64,2032,7,,269,,24.640897844700056,,64,2032,0,0,0,0
20200428,S92000003,4,67,2152,9,,265,,23.776177346955436,,67,2152,0,0,0,0
20200428,S92000003,5,66,2058,5,,204,,18.659873497034084,,66,2058,0,0,0,0
20200429,S92000003,1,98,2741,7,,419,,38.69858237579741,,98,2741,0,0,0,0
20200429,S92000003,2,88,2635,7,,391,,36.07756584386441,,88,2635,0,0,0,0
20200429,S92000003,3,88,2120,8,,277,,25.37371265049039,,88,2120,0,0,0,0
20200429,S92000003,4,76,2228,8,,273,,24.49394873856164,,76,2228,0,0,0,0
20200429,S92000003,5,74,2132,8,,212,,19.391633242015818,,74,2132,0,0,0,0
20200430,S92000003,1,86,2827,14,,433,,39.991613767828824,,86,2827,0,0,0,0
20200430,S92000003,2,63,2698,9,,400,,36.90799574819889,,63,2698,0,0,0,0
20200430,S92000003,3,64,2184,9,,286,,26.19812930700452,,64,2184,0,0,0,0
20200430,S92000003,4,70,2298,4,,277,,24.852834434364745,,70,2298,0,0,0,0
20200430,S92000003,5,53,2185,7,,219,,20.031923018874828,,53,2185,0,0,0,0
20200501,S92000003,1,89,2916,14,,447,,41.28464515986024,,89,2916,0,0,0,0
20200501,S92000003,2,82,2780,11,,411,,37.92296563127436,,82,2780,0,0,0,0
20200501,S92000003,3,72,2256,9,,295,,27.02254596351865,,72,2256,0,0,0,0
20200501,S92000003,4,76,2374,6,,283,,25.391162978069392,,76,2374,0,0,0,0
20200501,S92000003,5,56,2241,8,,227,,20.76368276385656,,56,2241,0,0,0,0
20200502,S92000003,1,69,2985,9,,456,,42.11587962616615,,69,2985,0,0,0,0
20200502,S92000003,2,45,2825,9,,420,,38.75339553560884,,45,2825,0,0,0,0
20200502,S92000003,3,50,2306,6,,301,,27.5721570678614,,50,2306,0,0,0,0
20200502,S92000003,4,28,2402,13,,296,,26.557541489429468,,28,2402,0,0,0,0
20200502,S92000003,5,29,2270,7,,234,,21.403972540715568,,29,2270,0,0,0,0
20200503,S92000003,1,48,3033,9,,465,,42.94711409247206,,48,3033,0,0,0,0
20200503,S92000003,2,49,2874,7,,427,,39.39928546120232,,49,2874,0,0,0,0
20200503,S92000003,3,36,2342,7,,308,,28.213370022927947,,36,2342,0,0,0,0
20200503,S92000003,4,23,2425,10,,306,,27.454755728937226,,23,2425,0,0,0,0
20200503,S92000003,5,31,2301,4,,238,,21.769852413206433,,31,2301,0,0,0,0
20200504,S92000003,1,87,3120,9,,474,,43.77834855877798,,87,3120,0,0,0,0
20200504,S92000003,2,59,2933,7,,434,,40.04517538679579,,59,2933,0,0,0,0
20200504,S92000003,3,44,2386,9,,317,,29.03778667944207,,44,2386,0,0,0,0
20200504,S92000003,4,80,2505,8,,314,,28.17252712054342,,80,2505,0,0,0,0
20200504,S92000003,5,58,2359,7,,245,,22.410142190065446,,58,2359,0,0,0,0
20200505,S92000003,1,75,3195,13,,487,,44.97902056566429,,75,3195,0,0,0,0
20200505,S92000003,2,65,2998,10,,444,,40.96787528050077,,65,2998,0,0,0,0
20200505,S92000003,3,61,2447,10,,327,,29.953805186679993,,61,2447,0,0,0,0
20200505,S92000003,4,44,2549,13,,327,,29.3389056319035,,44,2549,0,0,0,0
20200505,S92000003,5,42,2401,4,,249,,22.77602206255631,,42,2401,0,0,0,0
20200506,S92000003,1,85,3280,11,,498,,45.9949738022604,,85,3280,0,0,0,0
20200506,S92000003,2,60,3058,2,,446,,41.15241525924176,,60,3058,0,0,0,0
