Year,Country,Sex,SexQF,AllAges,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90plus
2025,S92000003,Female,,2866711,22949,23077,23287,23880,24226,24821,26055,25955,26721,27859,28300,28572,29383,29851,30289,30756,30540,31088,30601,32408,33105,35079,37670,37084,37826,39337,38171,36449,36512,35849,35455,36836,37242,38352,38710,37714,37606,38396,36847,36971,37348,36167,36583,36472,36686,35483,34483,32443,31559,33439,33782,34303,36050,38450,40216,39850,41010,41711,41315,41390,42486,42359,41581,39778,38603,37550,36904,36101,34079,33018,31620,30443,29532,27994,27904,27356,27687,27858,29239,21364,19843,19367,18180,16075,13861,13474,12249,10963,9536,8429,30709
2025,S92000003,Male,,2707154,24077,24187,24393,25501,25441,26093,27608,27314,28189,29720,29864,30191,30674,31708,31905,31706,31971,32252,32138,32941,32973,34855,36620,35618,36259,37996,36606,35152,35473,34431,34175,35003,34753,35843,36959,35555,35702,36492,35098,35249,35081,34249,34115,34104,34741,33906,33566,30063,30013,31572,31809,32786,34053,35391,37107,37140,38483,38850,39272,38530,39869,39208,38642,37507,36129,35339,34538,33448,31696,30467,28848,27819,26915,25269,24763,24090,24247,24076,24798,18000,15852,15388,13656,11717,9610,9136,8132,7163,5941,5002,16373
2026,S92000003,All,d,5601570,47361,47644,47885,48171,49774,50010,51300,54063,53655,55290,57963,58550,59148,60439,61961,62704,63096,63308,65091,66251,68882,68073,71227,75797,73995,74808,78066,75562,72318,72675,71010,70366,72512,72626,74815,76253,73798,73779,75330,72383,72599,72734,70712,70962,70781,71616,69563,68184,62613,61672,65098,65638,67102,70084,73772,77211,76860,79289,80295,80273,79572,81943,81113,79717,76718,74120,72206,70672,68706,64876,62492,59418,57128,55214,51970,51246,49907,50213,50017,51796,37527,33806,32680,29715,25713,21513,20507,18269,16036,13489,48274
2026,S92000003,Female,,2881587,23113,23261,23387,23524,24072,24403,25012,26245,26145,26897,28039,28486,28755,29568,30043,30531,31054,30921,32068,32712,34520,34221,35811,38588,37819,38157,39692,38613,36881,36932,36295,35901,37232,37594,38692,39034,37997,37858,38632,37075,37180,37536,36352,36738,36596,36802,35583,34563,32511,31627,33499,33811,34319,36060,38437,40195,39819,40941,41618,41210,41264,42334,42192,41378,39541,38348,37260,36569,35737,33699,32597,31172,29959,29002,27430,27271,26669,26913,26986,28206,20510,18938,18368,17125,15018,12835,12354,11103,9810,8405,31417
2026,S92000003,Male,,2719983,24248,24383,24498,24647,25702,25607,26288,27818,27510,28393,29924,30064,30393,30871,31918,32173,32042,32387,33023,33539,34362,33852,35416,37209,36176,36651,38374,36949,35437,35743,34715,34465,35280,35032,36123,37219,35801,35921,36698,35308,35419,35198,34360,34224,34185,34814,33980,33621,30102,30045,31599,31827,32783,34024,35335,37016,37041,38348,38677,39063,38308,39609,38921,38339,37177,35772,34946,34103,32969,31177,29895,28246,27169,26212,24540,23975,23238,23300,23031,23590,17017,14868,14312,12590,10695,8678,8153,7166,6226,5084,16857
2027,S92000003,All,d,5621920,47587,47910,48177,48291,48486,50046,50326,51636,54392,53980,55620,58300,58884,59479,60789,62408,63259,63796,64880,68334,69525,70634,69065,72295,76616,74353,75234,78573,76039,72798,73215,71570,70879,72998,73110,75283,76673,74165,74131,75677,72678,72830,72958,70912,71107,70918,71738,69657,68235,62666,61729,65107,65614,67052,69992,73643,77046,76636,79002,79957,79891,79156,81462,80583,79115,76076,73418,71422,69815,67767,63866,61411,58270,55891,53886,50582,49730,48273,48384,47981,49429,35582,31836,30545,27535,23597,19537,18405,16186,13994,49405
2027,S92000003,Female,,2892819,23223,23391,23528,23583,23677,24214,24560,25172,26407,26296,27052,28202,28644,28915,29734,30253,30790,31387,31801,34022,34675,35502,34779,36463,39045,37952,38351,39992,38925,37197,37286,36656,36220,37515,37869,38961,39268,38202,38054,38819,37246,37335,37688,36478,36834,36687,36878,35644,34610,32556,31672,33511,33807,34313,36038,38407,40149,39740,40841,41501,41073,41110,42158,41980,41125,39276,38050,36920,36201,35339,33272,32136,30679,29425,28423,26815,26594,25934,26084,26053,27104,19597,17984,17327,16024,13927,11785,11215,9952,8661,32079
2027,S92000003,Male,,2729101,24364,24519,24649,24708,24809,25832,25766,26464,27985,27684,28568,30098,30240,30564,31055,32155,32469,32409,33079,34312,34850,35132,34286,35832,37571,36401,36883,38581,37114,35601,35929,34914,34659,35483,35241,36322,37405,35963,36077,36858,35432,35495,35270,34434,34273,34231,34860,34013,33625,30110,30057,31596,31807,32739,33954,35236,36897,36896,38161,38456,38818,38046,39304,38603,37990,36800,35368,34502,33614,32428,30594,29275,27591,26466,25463,23767,23136,22339,22300,21928,22325,15985,13852,13218,11511,9670,7752,7190,6234,5333,17326
2028,S92000003,All,d,5634973,47750,48069,48359,48502,48529,48688,50297,50598,51907,54664,54257,55908,58588,59166,59778,61173,62889,63865,65185,67872,71361,71038,71339,69732,72679,76604,74484,75484,78816,76312,73154,73606,71926,71223,73347,73453,75596,76938,74420,74394,75891,72839,72988,73091,70997,71188,70995,71784,69667,68231,62676,61709,65046,65531,66931,69839,73464,76791,76335,78644,79552,79443,78674,80906,79958,78439,75346,72614,70550,68861,66720,62773,60233,57020,54558,52457,49099,48118,46534,46439,45822,46922,33550,29807,28346,25310,21459,17561,16329,14145,50841
2028,S92000003,Female,,2900380,23302,23467,23617,23685,23699,23786,24339,24688,25305,26532,26425,27190,28337,28780,29056,29913,30475,31076,32166,33614,35848,35521,35891,35191,36668,38975,37992,38519,40187,39138,37460,37565,36899,36435,37726,38080,39146,39428,38353,38203,38955,37368,37457,37783,36546,36899,36741,36917,35670,34632,32577,31669,33490,33784,34277,35998,38353,40054,39632,40717,41352,40908,40932,41938,41717,40844,38968,37700,36545,35799,34894,32807,31632,30136,28841,27790,26156,25869,25144,25195,25052,25924,18631,16987,16236,14883,12807,10715,10068,8801,32913
2028,S92000003,Male,,2734593,24448,24602,24742,24817,24830,24902,25958,25910,26602,28132,27832,28718,30251,30386,30722,31260,32414,32789,33019,34258,35513,35517,35448,34541,36011,37629,36492,36965,38629,37174,35694,36041,35027,34788,35621,35373,36450,37510,36067,36191,36936,35471,35531,35308,34451,34289,34254,34867,33997,33599,30099,30040,31556,31747,32654,33841,35111,36737,36703,37927,38200,38535,37742,38968,38241,37595,36378,34914,34005,33062,31826,29966,28601,26884,25717,24667,22943,22249,21390,21244,20770,20998,14919,12820,12110,10427,8652,6846,6261,5344,17928
2029,S92000003,All,d,5647807,47915,48233,48518,48684,48740,48729,48938,50569,50868,52180,54940,54539,56193,58870,59463,60161,61652,63496,65256,68172,70907,72888,71741,72013,70143,72676,76727,74738,75732,79087,76668,73549,73966,72269,71573,73690,73766,75866,77194,74684,74614,76053,73001,73125,73176,71081,71267,71048,71793,69668,68230,62653,61663,64965,65414,66787,69672,73226,76486,75992,78247,79108,78955,78144,80281,79283,77693,74530,71739,69601,67815,65596,61585,58959,55681,53134,50938,47527,46408,44690,44382,43538,44304,31455,27714,26101,23058,19318,15607,14292,52217
2029,S92000003,Female,,2907871,23382,23547,23693,23774,23801,23807,23911,24467,24820,25430,26661,26561,27324,28473,28920,29235,30134,30761,31857,33975,35443,36703,35907,36308,35415,36606,39011,38161,38716,40401,39402,37742,37811,37113,36646,37937,38265,39308,39580,38502,38341,39078,37492,37554,37850,36612,36954,36782,36942,35692,34651,32570,31653,33467,33747,34239,35950,38265,39942,39512,40573,41186,40732,40722,41679,41437,40527,38616,37323,36146,35356,34412,32299,31081,29546,28208,27114,25451,25092,24300,24244,23980,24673,17619,15940,15104,13708,11663,9636,8918,33783
2029,S92000003,Male,,2739936,24533,24686,24825,24910,24939,24922,25027,26102,26048,26750,28279,27978,28869,30397,30543,30926,31518,32735,33399,34197,35464,36185,35834,35705,34728,36070,37716,36577,37016,38686,37266,35807,36155,35156,34927,35753,35501,36558,37614,36182,36273,36975,35509,35571,35326,34469,34313,34266,34851,33976,33579,30083,30010,31498,31667,32548,33722,34961,36544,36480,37674,37922,38223,37422,38602,37846,37166,35914,34416,33455,32459,31184,29286,27878,26135,24926,23824,22076,21316,20390,20138,19558,19631,13836,11774,10997,9350,7655,5971,5374,18434
2030,S92000003,All,d,5660359,48078,48398,48682,48844,48923,48941,48978,49209,50838,51137,52455,55222,54822,56473,59168,59844,60639,62258,64888,68249,71209,72435,73595,72406,72420,70163,72809,76975,74986,76010,79446,77065,73913,74311,72619,71918,74003,74038,76131,77460,74905,74782,76215,73141,73215,73260,71164,71322,71065,71795,69673,68194,62603,61596,64851,65277,66629,69449,72945,76142,75612,77812,78625,78419,77547,79607,78537,76859,73641,70790,68561,66690,64375,60301,57593,54248,51619,49331,45860,44591,42737,42201,41151,41596,29291,25569,23821,20797,17194,13683,53520
