Year,Country,Sex,SexQF,AllAges,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90plus
2033,S92000003,Male,,2759370,24815,24998,25162,25249,25285,25294,25334,25393,25435,25469,25598,26673,26628,27332,28872,28627,29631,31335,31929,33282,34832,36413,36781,36650,36890,37001,36429,36143,35038,36358,37999,36898,37407,39142,37768,36335,36689,35666,35410,36217,35928,36923,37903,36405,36434,37103,35634,35666,35384,34492,34297,34217,34759,33849,33373,29855,29716,31096,31182,31955,32998,34108,35534,35390,36440,36568,36734,35829,36777,35863,34993,33580,31926,30765,29566,28108,26092,24525,22671,21274,19969,18119,17089,15936,15301,14392,13908,9379,7584,6685,20689
2034,S92000003,All,d,5705856,48570,48951,49291,49502,49583,49618,49703,49809,49914,49993,50051,50291,51930,52236,53579,56445,56239,58228,62014,65260,68590,71170,73149,74181,74484,74176,74781,73216,73099,71112,73959,78260,76400,77516,80947,78497,75293,75602,73809,73040,75038,74987,76991,78180,75502,75303,76632,73486,73484,73439,71284,71351,71018,71630,69392,67786,62179,61068,64129,64401,65567,68182,71461,74401,73697,75616,76157,75659,74527,76136,74730,72727,69238,66078,63485,61194,58493,54203,51151,47539,44544,41816,38105,36247,33887,32544,30735,29915,20168,16757,61129
2034,S92000003,Female,,2942276,23701,23896,24068,24170,24211,24239,24283,24331,24383,24414,24438,24550,25110,25466,26094,27373,27357,28278,30071,32163,34116,35666,36414,37145,37654,37226,37690,36701,36901,36010,37505,40147,39384,39974,41660,40591,38825,38802,38033,37509,38733,39010,40018,40228,39069,38839,39495,37830,37822,38066,36796,37067,36831,36925,35617,34513,32413,31463,33185,33399,33813,35415,37620,39164,38632,39547,39998,39382,39193,39930,39487,38398,36369,34902,33517,32475,31282,29033,27591,25865,24311,22944,21091,20311,19146,18524,17691,17466,11888,10170,39253
2034,S92000003,Male,,2763580,24869,25055,25223,25332,25372,25379,25420,25478,25531,25579,25613,25741,26820,26770,27485,29072,28882,29950,31943,33097,34474,35504,36735,37036,36830,36950,37091,36515,36198,35102,36454,38113,37016,37542,39287,37906,36468,36800,35776,35531,36305,35977,36973,37952,36433,36464,37137,35656,35662,35373,34488,34284,34187,34705,33775,33273,29766,29605,30944,31002,31754,32767,33841,35237,35065,36069,36159,36277,35334,36206,35243,34329,32869,31176,29968,28719,27211,25170,23560,21674,20233,18872,17014,15936,14741,14020,13044,12449,8280,6587,21876
2035,S92000003,All,d,5715742,48617,49057,49407,49621,49744,49786,49870,49976,50079,50181,50262,50326,50566,52202,52523,53952,56918,56841,59612,64961,68245,70105,71878,73807,74566,74484,74310,75036,73468,73374,71471,74364,78634,76758,77887,81308,78819,75571,75868,74083,73272,75218,75169,77150,78283,75606,75405,76698,73517,73505,73458,71269,71303,70948,71517,69258,67632,61998,60852,63858,64094,65222,67790,71004,73850,73103,74929,75371,74792,73587,75059,73568,71463,67892,64654,61960,59563,56765,52420,49269,45584,42480,39655,35920,33925,31457,29924,27958,26877,17856,63298
2035,S92000003,Female,,2948250,23724,23947,24125,24228,24289,24320,24365,24412,24463,24505,24540,24571,24679,25240,25601,26267,27591,27640,29053,31852,33958,34962,36053,36818,37351,37594,37270,37860,36900,37115,36274,37794,40403,39607,40197,41882,40781,38990,38958,38186,37651,38862,39141,40123,40302,39141,38902,39540,37863,37851,38089,36792,37046,36808,36885,35577,34465,32342,31384,33089,33285,33687,35276,37439,38934,38389,39260,39658,39013,38796,39476,38988,37854,35788,34276,32839,31747,30503,28226,26732,24959,23347,21923,20042,19171,17937,17204,16263,15866,10647,40507
2035,S92000003,Male,,2767492,24893,25110,25282,25393,25455,25466,25505,25564,25616,25676,25722,25755,25887,26962,26922,27685,29327,29201,30559,33109,34287,35143,35825,36989,37215,36890,37040,37176,36568,36259,35197,36570,38231,37151,37690,39426,38038,36581,36910,35897,35621,36356,36028,37027,37981,36465,36503,37158,35654,35654,35369,34477,34257,34140,34632,33681,33167,29656,29468,30769,30809,31535,32514,33565,34916,34714,35669,35713,35779,34791,35583,34580,33609,32104,30378,29121,27816,26262,24194,22537,20625,19133,17732,15878,14754,13520,12720,11695,11011,7209,22791
2036,S92000003,All,d,5724949,48631,49106,49513,49739,49865,49948,50038,50143,50246,50346,50449,50537,50601,50838,52489,52894,54423,57519,58223,62553,67941,69757,70810,72538,74195,74565,74618,74565,75284,73743,73731,71870,74737,78993,77126,78254,81640,79099,75842,76143,74313,73453,75398,75330,77261,78386,75708,75479,76728,73543,73530,73442,71225,71236,70844,71381,69111,67427,61778,60605,63560,63760,64850,67360,70488,73257,72448,74162,74517,73853,72559,73900,72301,70092,66444,63121,60329,57826,54921,50515,47267,43501,40312,37409,33643,31519,28953,27252,25156,23839,66105
2036,S92000003,Female,,2953859,23731,23972,24177,24285,24347,24399,24446,24494,24544,24585,24630,24673,24700,24809,25375,25773,26484,27874,28414,30827,33641,34802,35348,36459,37027,37291,37638,37443,38058,37114,37378,36557,38047,40627,39829,40421,42078,40948,39149,39112,38326,37780,38992,39246,40200,40375,39203,38950,39572,37893,37878,38084,36773,37024,36772,36844,35529,34387,32258,31298,32978,33160,33555,35108,37223,38689,38115,38930,39291,38622,38361,38983,38441,37257,35154,33592,32113,30967,29665,27358,25808,23983,22320,20846,18930,17974,16674,15834,14794,14232,42012
2036,S92000003,Male,,2771090,24900,25134,25336,25454,25518,25549,25592,25649,25702,25761,25819,25864,25901,26029,27114,27121,27939,29645,29809,31726,34300,34955,35462,36079,37168,37274,36980,37122,37226,36629,36353,35313,36690,38366,37297,37833,39562,38151,36693,37031,35987,35673,36406,36084,37061,38011,36505,36529,37156,35650,35652,35358,34452,34212,34072,34537,33582,33040,29520,29307,30582,30600,31295,32252,33265,34568,34333,35232,35226,35231,34198,34917,33860,32835,31290,29529,28216,26859,25256,23157,21459,19518,17992,16563,14713,13545,12279,11418,10362,9607,24093
2037,S92000003,All,d,5733420,48637,49121,49562,49846,49983,50069,50201,50312,50413,50513,50616,50726,50814,50871,51124,52860,53366,55025,58897,61130,65501,69451,70463,71476,72931,74195,74698,74874,74815,75560,74103,74126,72240,75098,79361,77489,78587,81924,79371,76123,76377,74495,73639,75559,75443,77370,78487,75786,75519,76749,73573,73521,73396,71162,71136,70719,71232,68911,67183,61529,60331,63234,63402,64446,66878,69933,72604,71718,73329,73592,72825,71449,72637,70928,68614,64884,61480,58593,55972,52952,48487,45129,41307,38054,35062,31279,29037,26395,24550,22346,73715
2037,S92000003,Female,,2959065,23734,23979,24201,24337,24404,24457,24525,24575,24626,24666,24711,24764,24803,24829,24943,25547,25991,26768,28647,30169,32596,34482,35189,35759,36672,36969,37335,37810,37641,38272,37379,37660,36807,38271,40849,40051,40616,42248,41108,39306,39255,38456,37913,39097,39324,40275,40437,39252,38986,39600,37921,37876,38064,36753,36989,36735,36796,35450,34296,32168,31197,32857,33031,33399,34910,36994,38413,37799,38573,38901,38191,37886,38442,37842,36604,34460,32858,31335,30128,28765,26424,24809,22940,21235,19702,17760,16722,15361,14420,13290,46478
2037,S92000003,Male,,2774355,24903,25142,25361,25509,25579,25612,25676,25737,25787,25847,25905,25962,26011,26042,26181,27313,27375,28257,30250,30961,32905,34969,35274,35717,36259,37226,37363,37064,37174,37288,36724,36466,35433,36827,38512,37438,37971,39676,38263,36817,37122,36039,35726,36462,36119,37095,38050,36534,36533,37149,35652,35645,35332,34409,34147,33984,34436,33461,32887,29361,29134,30377,30371,31047,31968,32939,34191,33919,34756,34691,34634,33563,34195,33086,32010,30424,28622,27258,25844,24187,22063,20320,18367,16819,15360,13519,12315,11034,10130,9056,27237
2038,S92000003,All,d,5741168,48630,49127,49578,49895,50090,50188,50322,50475,50582,50681,50783,50893,51002,51084,51156,51494,53330,53967,56405,61787,64045,66998,70158,71135,71880,72938,74329,74954,75125,75092,75919,74501,74492,72594,75469,79725,77819,78875,82200,79652,76361,76561,74678,73802,75672,75556,77480,78564,75826,75552,76776,73568,73482,73331,71066,71014,70583,71031,68672,66908,61250,60030,62883,63013,63991,66360,69322,71879,70924,72427,72578,71718,70242,71269,69448,67021,63215,59732,56739,53990,50856,46322,42879,39021,35694,32626,28840,26498,23806,21837,78906
2038,S92000003,Female,,2963873,23730,23982,24209,24362,24456,24514,24584,24654,24707,24749,24792,24845,24894,24932,24963,25115,25764,26274,27541,30392,31921,33431,34870,35604,35978,36617,37014,37507,38009,37857,38537,37663,37908,37026,38493,41072,40245,40787,42410,41265,39451,39386,38587,38019,39175,39400,40340,40486,39287,39019,39627,37920,37859,38042,36720,36952,36691,36716,35359,34200,32061,31085,32730,32878,33213,34700,36735,38097,37457,38195,38471,37723,37367,37849,37186,35889,33716,32072,30498,29226,27796,25415,23743,21838,20082,18499,16536,15419,14005,12971,49512
2038,S92000003,Male,,2777295,24900,25145,25369,25533,25634,25674,25738,25821,25875,25932,25991,26048,26108,26152,26193,26379,27566,27693,28864,31395,32124,33567,35288,35531,35902,36321,37315,37447,37116,37235,37382,36838,36584,35568,36976,38653,37574,38088,39790,38387,36910,37175,36091,35783,36497,36156,37140,38078,36539,36533,37149,35648,35623,35289,34346,34062,33892,34315,33313,32708,29189,28945,30153,30135,30778,31660,32587,33782,33467,34232,34107,33995,32875,33420,32262,31132,29499,27660,26241,24764,23060,20907,19136,17183,15612,14127,12304,11079,9801,8866,29394
2039,S92000003,All,d,5748258,48623,49120,49583,49911,50139,50294,50441,50596,50745,50851,50952,51060,51170,51272,51370,51526,51965,53930,55343,59298,64701,65532,67704,70832,71545,71897,73078,74585,75204,75402,75454,76320,74869,74845,72957,75835,80056,78105,79157,82487,79890,76547,76746,74841,73921,75785,75669,77565,78603,75860,75589,76766,73532,73423,73232,70947,70879,70393,70789,68399,66602,60947,59707,62501,62574,63502,65790,68641,71092,70064,71439,71488,70514,68933,69795,67853,65318,61438,57863,54752,51875,48613,44038,40531,36628,33241,30108,26342,23925,21202,82812
2039,S92000003,Female,,2968313,23727,23978,24212,24370,24482,24566,24640,24713,24786,24830,24875,24927,24976,25023,25066,25135,25332,26047,27044,29286,32142,32751,33820,35287,35827,35928,36664,37186,37705,38224,38124,38822,37913,38127,37242,38715,41267,40415,40951,42571,41411,39583,39518,38693,38100,39252,39466,40391,40522,39320,39050,39624,37904,37841,38008,36686,36909,36615,36624,35261,34087,31945,30969,32580,32695,33015,34462,36437,37756,37095,37778,38004,37211,36797,37201,36468,35123,32919,31225,29596,28253,26747,24336,22616,20666,18869,17238,15261,14072,12612,51806
2039,S92000003,Male,,2779945,24896,25142,25371,25541,25657,25728,25801,25883,25959,26021,26077,26133,26194,26249,26304,26391,26633,27883,28299,30012,32559,32781,33884,35545,35718,35969,36414,37399,37499,37178,37330,37498,36956,36718,35715,37120,38789,37690,38206,39916,38479,36964,37228,36148,35821,36533,36203,37174,38081,36540,36539,37142,35628,35582,35224,34261,33970,33778,34165,33138,32515,29002,28738,29921,29879,30487,31328,32204,33336,32969,33661,33484,33303,32136,32594,31385,30195,28519,26638,25156,23622,21866,19702,17915,15962,14372,12870,11081,9853,8590,31006
2040,S92000003,All,d,5754648,48604,49113,49577,49917,50155,50343,50547,50716,50867,51014,51122,51229,51337,51440,51557,51740,51996,52564,55303,58203,62185,66189,66237,68383,71245,71566,72043,73337,74834,75481,75763,75858,76691,75225,75207,73316,76168,80341,78383,79448,82731,80077,76737,76912,74958,74037,75898,75756,77610,78634,75898,75589,76725,73477,73331,73112,70816,70692,70162,70512,68096,66267,60619,59355,62070,62102,62964,65152,67901,70238,69120,70376,70302,69208,67522,68207,66146,63502,59536,55861,52632,49612,46246,41653,38072,34140,30703,27527,23809,21335,85467
2040,S92000003,Female,,2972351,23717,23975,24208,24373,24489,24592,24692,24769,24845,24909,24956,25009,25058,25105,25156,25238,25352,25614,26815,28768,31019,32974,33142,34242,35513,35780,35979,36837,37384,37921,38490,38412,39074,38134,38344,37460,38910,41437,40577,41113,42720,41544,39717,39626,38772,38177,39319,39519,40429,40555,39351,39051,39605,37887,37810,37972,36644,36834,36526,36524,35147,33963,31823,30831,32401,32502,32791,34187,36116,37394,36695,37325,37493,36648,36173,36491,35698,34301,32060,30312,28622,27199,25625,23193,21416,19431,17596,15923,13942,12687,53402
2040,S92000003,Male,,2782297,24887,25138,25369,25544,25666,25751,25855,25947,26022,26105,26166,26220,26279,26335,26401,26502,26644,26950,28488,29435,31166,33215,33095,34141,35732,35786,36064,36500,37450,37560,37273,37446,37617,37091,36863,35856,37258,38904,37806,38335,40011,38533,37020,37286,36186,35860,36579,36237,37181,38079,36547,36538,37120,35590,35521,35140,34172,33858,33636,33988,32949,32304,28796,28524,29669,29600,30173,30965,31785,32844,32425,33051,32809,32560,31349,31716,30448,29201,27476,25549,24010,22413,20621,18460,16656,14709,13107,11604,9867,8648,32065
2041,S92000003,All,d,5760414,48557,49094,49570,49911,50161,50360,50596,50822,50987,51136,51287,51400,51506,51608,51726,51928,52210,52594,53936,58148,61062,63662,66897,66930,68810,71270,71716,72307,73592,75113,75843,76169,76232,77047,75589,75562,73642,76455,80620,78674,79697,82922,80266,76906,77028,75075,74156,75985,75807,77649,78670,75901,75561,76664,73390,73218,72980,70634,70465,69899,70205,67764,65906,60264,58954,61607,61583,62361,64459,67099,69300,68105,69220,69017,67802,66002,66506,64327,61559,57496,53722,50360,47222,43772,39154,35512,31563,28100,24907,21255,87709
2041,S92000003,Female,,2976031,23694,23965,24205,24369,24492,24599,24719,24821,24901,24968,25036,25091,25139,25187,25239,25329,25455,25633,26381,28530,30485,31844,33367,33573,34477,35469,35833,36155,37037,37601,38188,38778,38665,39295,38351,38559,37650,39080,41600,40739,41265,42857,41679,39825,39705,38850,38247,39371,39558,40464,40586,39353,39038,39585,37857,37777,37929,36572,36747,36431,36408,35022,33834,31681,30665,32212,32284,32533,33891,35776,36995,36261,36829,36933,36033,35490,35728,34872,33415,31132,29325,27566,26071,24437,21977,20151,18136,16268,14561,12584,54766
2041,S92000003,Male,,2784383,24863,25129,25365,25542,25669,25761,25877,26001,26086,26168,26251,26309,26367,26421,26487,26599,26755,26961,27555,29618,30577,31818,33530,33357,34333,35801,35883,36152,36555,37512,37655,37391,37567,37752,37238,37003,35992,37375,39020,37935,38432,40065,38587,37081,37323,36225,35909,36614,36249,37185,38084,36548,36523,37079,35533,35441,35051,34062,33718,33468,33797,32742,32072,28583,28289,29395,29299,29828,30568,31323,32305,31844,32391,32084,31769,30512,30778,29455,28144,26364,24397,22794,21151,19335,17177,15361,13427,11832,10346,8671,32943
2042,S92000003,All,d,5765595,48475,49047,49551,49904,50155,50366,50615,50872,51094,51256,51408,51565,51678,51777,51894,52098,52399,52809,53964,56777,60998,62527,64369,67596,67372,68845,71421,71979,72562,73871,75476,76248,76543,76592,77414,75951,75887,73925,76737,80909,78921,79895,83117,80436,77027,77146,75191,74249,76036,75852,77693,78671,75874,75512,76571,73281,73092,72795,70412,70204,69606,69869,67408,65516,59863,58527,61098,61001,61705,63707,66216,68290,66999,67966,67632,66288,64374,64694,62381,59475,55318,51430,47960,44722,41175,36548,32859,28916,25455,22263,89433
2042,S92000003,Female,,2979358,23654,23942,24195,24366,24488,24602,24726,24849,24954,25024,25095,25171,25222,25269,25321,25412,25546,25736,26399,28093,30240,31304,32236,33801,33816,34438,35523,36008,36355,37253,37868,38475,39031,38888,39514,38570,38749,37817,39243,41761,40889,41405,42996,41789,39907,39784,38917,38302,39411,39596,40497,40588,39340,39024,39553,37826,37737,37854,36487,36652,36320,36281,34893,33684,31512,30491,31998,32032,32254,33577,35399,36559,35785,36284,36319,35359,34756,34910,33982,32459,30130,28255,26436,24876,23170,20693,18822,16782,14892,13158,55782
2042,S92000003,Male,,2786237,24821,25105,25356,25538,25667,25764,25889,26023,26140,26232,26313,26394,26456,26508,26573,26686,26853,27073,27565,28684,30758,31223,32133,33795,33556,34407,35898,35971,36207,36618,37608,37773,37512,37704,37900,37381,37138,36108,37494,39148,38032,38490,40121,38647,37120,37362,36274,35947,36625,36256,37196,38083,36534,36488,37018,35455,35355,34941,33925,33552,33286,33588,32515,31832,28351,28036,29100,28969,29451,30130,30817,31731,31214,31682,31313,30929,29618,29784,28399,27016,25188,23175,21524,19846,18005,15855,14037,12134,10563,9105,33651
2043,S92000003,All,d,5770152,48350,48965,49504,49885,50148,50360,50621,50890,51144,51363,51528,51686,51843,51950,52065,52266,52569,52999,54177,56784,59608,62463,63233,65068,68040,67420,69006,71687,72235,72843,74235,75882,76622,76903,76961,77776,76280,76169,74204,77030,81156,79117,80095,83290,80556,77147,77262,75283,74307,76081,75902,77701,78641,75827,75430,76455,73160,72914,72568,70156,69912,69283,69507,67020,65074,59431,58055,60528,60370,60992,62877,65267,67194,65801,66616,66140,64667,62640,62754,60291,57249,52982,49008,45448,42097,38466,33845,30130,26221,22781,91696
2043,S92000003,Female,,2982319,23593,23902,24172,24356,24485,24598,24729,24855,24982,25077,25151,25230,25302,25352,25404,25494,25629,25828,26501,28099,29792,31059,31698,32672,34046,33784,34497,35699,36208,36572,37520,38155,38728,39254,39109,39734,38762,38915,37978,39405,41911,41028,41546,43108,41870,39986,39852,38971,38345,39449,39632,40501,40574,39325,38997,39519,37787,37667,37767,36396,36541,36197,36149,34741,33503,31332,30294,31751,31762,31958,33228,34990,36084,35263,35689,35647,34635,33969,34028,33018,31425,29043,27110,25238,23601,21831,19342,17431,15376,13472,57114
2043,S92000003,Male,,2787833,24757,25063,25332,25529,25663,25762,25892,26035,26162,26286,26377,26456,26541,26598,26661,26772,26940,27171,27676,28685,29816,31404,31535,32396,33994,33636,34509,35988,36027,36271,36715,37727,37894,37649,37852,38042,37518,37254,36226,37625,39245,38089,38549,40182,38686,37161,37410,36312,35962,36632,36270,37200,38067,36502,36433,36936,35373,35247,34801,33760,33371,33086,33358,32279,31571,28099,27761,28777,28608,29034,29649,30277,31110,30538,30927,30493,30032,28671,28726,27273,25824,23939,21898,20210,18496,16635,14503,12699,10845,9309,34582
2044,S92000003,All,d,5774125,48167,48841,49421,49837,50129,50353,50615,50896,51162,51414,51635,51806,51964,52116,52237,52438,52737,53168,54368,56996,59604,61064,63170,63943,65520,68089,67589,69277,71943,72515,73206,74641,76256,76983,77273,77327,78108,76566,76445,74493,77281,81351,79317,80275,83412,80676,77270,77356,75339,74358,76133,75917,77680,78590,75746,75326,76326,72987,72694,72308,69870,69592,68935,69112,66581,64602,58955,57523,59909,59683,60207,61985,64232,66003,64508,65161,64545,62940,60783,60673,58061,54862,50513,46472,42808,39357,35655,31064,27351,23497,94032
2044,S92000003,Female,,2984928,23503,23841,24132,24333,24475,24595,24725,24858,24988,25106,25204,25286,25361,25433,25487,25577,25710,25910,26594,28201,29792,30606,31454,32142,32923,34016,33847,34675,35898,36424,36838,37807,38408,38951,39475,39331,39927,38931,39074,38137,39557,42049,41168,41661,43192,41950,40057,39907,39012,38385,39486,39638,40491,40559,39297,38969,39478,37719,37584,37673,36288,36419,36070,35993,34558,33313,31129,30064,31486,31474,31630,32849,34541,35561,34690,35035,34926,33859,33120,33074,31979,30305,27880,25896,23958,22253,20423,17929,15987,13925,58507
2044,S92000003,Male,,2789197,24664,25000,25289,25504,25654,25758,25890,26038,26174,26308,26431,26520,26603,26683,26750,26861,27027,27258,27774,28795,29812,30458,31716,31801,32597,34073,33742,34602,36045,36091,36368,36834,37848,38032,37798,37996,38181,37635,37371,36356,37724,39302,38149,38614,40220,38726,37213,37449,36327,35973,36647,36279,37189,38031,36449,36357,36848,35268,35110,34635,33582,33173,32865,33119,32023,31289,27826,27459,28423,28209,28577,29136,29691,30442,29818,30126,29619,29081,27663,27599,26082,24557,22633,20576,18850,17104,15232,13135,11364,9572,35525
2045,S92000003,All,d,5777509,47940,48657,49297,49753,50081,50334,50608,50890,51167,51431,51686,51913,52084,52236,52404,52611,52910,53338,54538,57189,59817,61056,61769,63885,64410,65576,68257,67864,69539,72224,72878,73610,75015,76616,77354,77640,77663,78396,76845,76732,74741,77482,81550,79496,80404,83534,80798,77367,77411,75390,74415,76148,75903,77639,78504,75643,75210,76144,72773,72439,72016,69555,69246,68553,68665,66109,64082,58421,56945,59237,58928,59364,61013,63109,64722,63116,63604,62843,61092,58792,58450,55666,52334,47925,43804,40052,36509,32757,28228,24536,96632
2045,S92000003,Female,,2987182,23393,23751,24071,24292,24452,24585,24722,24854,24990,25111,25233,25339,25417,25491,25568,25661,25794,25992,26676,28295,29895,30605,31000,31902,32402,32896,34079,34026,34876,36114,36689,37124,38059,38630,39173,39698,39527,40096,39092,39233,38286,39698,42189,41282,41747,43273,42021,40114,39949,39052,38424,39493,39630,40479,40530,39269,38934,39406,37638,37494,37563,36170,36292,35917,35806,34365,33098,30895,29818,31206,31156,31275,32434,34047,34989,34062,34334,34152,33022,32203,32044,30852,29104,26644,24597,22604,20833,18946,16459,14493,60091
2045,S92000003,Male,,2790327,24547,24906,25226,25461,25629,25749,25886,26036,26177,26320,26453,26574,26667,26745,26836,26950,27116,27346,27862,28894,29922,30451,30769,31983,32008,32680,34178,33838,34663,36110,36189,36486,36956,37986,38181,37942,38136,38300,37753,37499,36455,37784,39361,38214,38657,40261,38777,37253,37462,36338,35991,36655,36273,37160,37974,36374,36276,36738,35135,34945,34453,33385,32954,32636,32859,31744,30984,27526,27127,28031,27772,28089,28579,29062,29733,29054,29270,28691,28070,26589,26406,24814,23230,21281,19207,17448,15676,13811,11769,10043,36541
2046,S92000003,All,d,5780359,47700,48431,49113,49629,49997,50286,50589,50883,51161,51436,51703,51964,52191,52357,52524,52777,53083,53512,54712,57362,60012,61271,61764,62489,64358,64479,65751,68533,68129,69822,72585,73279,73982,75377,76989,77721,77976,77956,78678,77136,76977,74938,77687,81729,79625,80534,83657,80893,77426,77461,75445,74437,76134,75868,77564,78397,75530,75041,75920,72523,72154,71697,69216,68868,68121,68185,65589,63500,57841,56318,58494,58112,58442,59957,61898,63341,61625,61944,61021,59109,56662,56062,53131,49685,45202,41015,37184,33572,29799,25354,99778
2046,S92000003,Female,,2989095,23276,23641,23980,24231,24412,24562,24712,24851,24986,25113,25238,25368,25470,25548,25626,25741,25878,26077,26760,28379,29990,30708,31002,31452,32166,32382,32962,34259,34228,35092,36378,36972,37373,38281,38851,39395,39893,39699,40259,39252,39381,38423,39840,42303,41367,41832,43345,42077,40157,39989,39089,38433,39485,39620,40454,40501,39234,38867,39321,37550,37389,37442,36048,36142,35735,35609,34147,32851,30643,29557,30894,30809,30884,31977,33506,34362,33387,33581,33317,32117,31211,30926,29643,27829,25323,23222,21176,19343,17410,14939,61965
2046,S92000003,Male,,2791264,24424,24790,25133,25398,25585,25724,25877,26032,26175,26323,26465,26596,26721,26809,26898,27036,27205,27435,27952,28983,30022,30563,30762,31037,32192,32097,32789,34274,33901,34730,36207,36307,36609,37096,38138,38326,38083,38257,38419,37884,37596,36515,37847,39426,38258,38702,40312,38816,37269,37472,36356,36004,36649,36248,37110,37896,36296,36174,36599,34973,34765,34255,33168,32726,32386,32576,31442,30649,27198,26761,27600,27303,27558,27980,28392,28979,28238,28363,27704,26992,25451,25136,23488,21856,19879,17793,16008,14229,12389,10415,37813
2047,S92000003,All,d,5782683,47446,48190,48886,49445,49873,50202,50541,50864,51154,51430,51709,51982,52242,52464,52647,52899,53249,53684,54886,57537,60185,61467,61977,62488,62968,64432,64664,66029,68798,68414,70187,72987,73651,74341,75750,77359,78059,78268,78241,78971,77384,77173,75141,77871,81856,79755,80666,83755,80951,77482,77517,75465,74431,76101,75802,77468,78278,75364,74831,75661,72244,71842,71351,68845,68440,67655,67655,65006,62868,57210,55623,57692,57221,57441,58817,60592,61862,60038,60168,59064,56988,54374,53534,50472,46896,42352,38110,34222,30571,26795,103217
2047,S92000003,Female,,2990682,23152,23524,23870,24140,24351,24523,24689,24841,24983,25109,25241,25374,25499,25601,25684,25800,25958,26160,26845,28463,30074,30805,31105,31457,31720,32149,32453,33143,34461,34444,35357,36662,37222,37593,38502,39074,39591,40065,39863,40420,39401,39517,38563,39956,42388,41451,41907,43403,42120,40199,40028,39097,38429,39477,39599,40429,40465,39168,38788,39229,37446,37273,37316,35902,35962,35542,35386,33896,32584,30376,29266,30553,30427,30454,31475,32912,33689,32665,32770,32413,31139,30134,29727,28358,26464,23922,21770,19677,17791,15817,63995
2047,S92000003,Male,,2792001,24294,24666,25016,25305,25522,25679,25852,26023,26171,26321,26468,26608,26743,26863,26963,27099,27291,27524,28041,29074,30111,30662,30872,31031,31248,32283,32211,32886,34337,33970,34830,36325,36429,36748,37248,38285,38468,38203,38378,38551,37983,37656,36578,37915,39468,38304,38759,40352,38831,37283,37489,36368,36002,36624,36203,37039,37813,36196,36043,36432,34798,34569,34035,32943,32478,32113,32269,31110,30284,26834,26357,27139,26794,26987,27342,27680,28173,27373,27398,26651,25849,24240,23807,22114,20432,18430,16340,14545,12780,10978,39222
