Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20220504,54,48.2857142857143,
20220505,34,46,
20220506,41,45.2857142857143,
20220507,34,43.7142857142857,
20220508,29,41,
20220509,57,42.8571428571429,
20220510,63,44.5714285714286,
20220511,47,43.5714285714286,
20220512,48,45.5714285714286,
20220513,33,44.4285714285714,
20220514,23,42.8571428571429,
20220515,29,42.8571428571429,
20220516,42,40.7142857142857,
20220517,31,36.1428571428571,
20220518,31,33.8571428571429,
20220519,28,31,
20220520,41,32.1428571428571,
20220521,19,31.5714285714286,
20220522,26,31.1428571428571,
20220523,31,29.5714285714286,
20220524,51,32.4285714285714,
20220525,43,34.1428571428571,
20220526,30,34.4285714285714,
20220527,36,33.7142857142857,
20220528,30,35.2857142857143,
20220529,45,38,
20220530,34,38.4285714285714,
20220531,30,35.4285714285714,
20220601,43,35.4285714285714,
20220602,53,38.7142857142857,
20220603,44,39.8571428571429,
20220604,44,41.8571428571429,
20220605,50,42.5714285714286,
20220606,59,46.1428571428571,
20220607,48,48.7142857142857,
20220608,52,50,
20220609,70,52.4285714285714,
20220610,73,56.5714285714286,
20220611,58,58.5714285714286,
20220612,68,61.1428571428571,
20220613,70,62.7142857142857,
20220614,76,66.7142857142857,
20220615,75,70,
20220616,82,71.7142857142857,
20220617,81,72.8571428571429,
20220618,61,73.2857142857143,
20220619,62,72.4285714285714,
20220620,88,75,
20220621,108,79.5714285714286,
20220622,98,82.8571428571429,
20220623,117,87.8571428571429,
20220624,129,94.7142857142857,
20220625,103,100.714285714286,
20220626,95,105.428571428571,
20220627,106,108,
20220628,142,112.857142857143,
20220629,113,115,
20220630,117,115,
20220701,112,112.571428571429,
20220702,110,113.571428571429,
20220703,84,112,
20220704,125,114.714285714286,
20220705,125,112.285714285714,
20220706,119,113.142857142857,
20220707,120,113.571428571429,
20220708,113,113.714285714286,
20220709,99,112.142857142857,
20220710,77,111.142857142857,
20220711,137,112.857142857143,
20220712,131,113.714285714286,
20220713,111,112.571428571429,
20220714,89,108.142857142857,
20220715,72,102.285714285714,
20220716,68,97.8571428571429,
20220717,83,98.7142857142857,
20220718,97,93,
20220719,100,88.5714285714286,
20220720,105,87.7142857142857,
20220721,79,86.2857142857143,
20220722,80,87.4285714285714,
20220723,81,89.2857142857143,
20220724,67,87,
20220725,80,84.5714285714286,
20220726,68,80,
20220727,71,75.1428571428571,
20220728,65,73.1428571428571,
20220729,68,71.4285714285714,
20220730,57,68,
20220731,46,65,
20220801,61,62.2857142857143,
20220802,59,61,
20220803,59,59.2857142857143,
20220804,47,56.7142857142857,
20220805,44,53.2857142857143,
20220806,28,49.1428571428571,
20220807,47,49.2857142857143,
20220808,49,47.5714285714286,
20220809,46,45.7142857142857,
20220810,51,44.5714285714286,
20220811,38,43.2857142857143,
20220812,55,44.8571428571429,
20220813,33,45.5714285714286,
20220814,35,43.8571428571429,
20220815,46,43.4285714285714,
20220816,37,42.1428571428571,
20220817,36,40,
20220818,27,38.4285714285714,
20220819,42,36.5714285714286,
20220820,24,35.2857142857143,
20220821,35,35.2857142857143,
20220822,37,34,
20220823,42,34.7142857142857,
20220824,43,35.7142857142857,
20220825,41,37.7142857142857,
20220826,35,36.7142857142857,
20220827,28,37.2857142857143,
20220828,33,37,
20220829,41,37.5714285714286,
20220830,34,36.4285714285714,
20220831,41,36.1428571428571,
20220901,42,36.2857142857143,
20220902,48,38.1428571428571,
20220903,28,38.1428571428571,
20220904,41,39.2857142857143,
20220905,48,40.2857142857143,
20220906,59,43.8571428571429,
20220907,40,43.7142857142857,
20220908,45,44.1428571428571,
20220909,39,42.8571428571429,
20220910,28,42.8571428571429,
20220911,24,40.4285714285714,
20220912,45,40,
20220913,38,37,
20220914,50,38.4285714285714,
20220915,31,36.4285714285714,
20220916,37,36.1428571428571,
20220917,34,37,
20220918,27,37.4285714285714,
20220919,30,35.2857142857143,
20220920,43,36,
20220921,36,34,
20220922,38,35,
20220923,35,34.7142857142857,
20220924,21,32.8571428571429,
20220925,34,33.8571428571429,
20220926,31,34,
20220927,30,32.1428571428571,
20220928,28,31,
20220929,42,31.5714285714286,
20220930,34,31.4285714285714,
20221001,32,33,
20221002,18,30.7142857142857,
20221003,48,33.1428571428571,
20221004,39,34.4285714285714,
20221005,34,35.2857142857143,
20221006,24,32.7142857142857,
20221007,48,34.7142857142857,
20221008,34,35,
20221009,24,35.8571428571429,
20221010,38,34.4285714285714,
20221011,27,32.7142857142857,
20221012,35,32.8571428571429,
20221013,39,35,
20221014,46,34.7142857142857,
20221015,25,33.4285714285714,
20221016,34,34.8571428571429,
20221017,35,34.4285714285714,
20221018,24,34,
20221019,38,34.4285714285714,
20221020,42,34.8571428571429,
20221021,28,32.2857142857143,
20221022,35,33.7142857142857,
20221023,27,32.7142857142857,
20221024,40,33.4285714285714,
20221025,36,35.1428571428571,
20221026,36,34.8571428571429,
20221027,31,33.2857142857143,
20221028,26,33,
20221029,21,31,
20221030,32,31.7142857142857,
20221031,38,31.4285714285714,
20221101,34,31.1428571428571,
20221102,33,30.7142857142857,
20221103,24,29.7142857142857,
20221104,37,31.2857142857143,
20221105,26,32,
20221106,14,29.4285714285714,
20221107,35,29,
20221108,23,27.4285714285714,
20221109,23,26,
20221110,31,27,
20221111,33,26.4285714285714,
20221112,13,24.5714285714286,
20221113,19,25.2857142857143,
20221114,22,23.4285714285714,
20221115,24,23.5714285714286,
20221116,20,23.1428571428571,
20221117,25,22.2857142857143,
20221118,23,20.8571428571429,
