Month,Ethnicity,NumberAdmitted,NumberAdmittedQF,PercentAdmitted,PercentAdmittedQF
20220101,Unknown,347,,12.79,
20220101,White,2245,,82.75,
20220201,African,5,,0.26,
20220201,"Asian, Asian Scottish or Asian British",50,,2.56,
20220201,Caribbean or Black,,c,,c
20220201,Mixed or Multiple Ethnic Groups,9,,0.46,
20220201,Other,16,,0.82,
20220201,Unknown,257,,13.16,
20220201,White,1614,,82.64,
20220301,African,11,,0.3,
20220301,"Asian, Asian Scottish or Asian British",50,,1.35,
20220301,Caribbean or Black,,c,,c
20220301,Mixed or Multiple Ethnic Groups,13,,0.35,
20220301,Other,24,,0.65,
20220301,Unknown,495,,13.38,
20220301,White,3105,,83.94,
20220401,African,,c,,c
20220401,"Asian, Asian Scottish or Asian British",27,,1.14,
20220401,Caribbean or Black,,c,,c
20220401,Mixed or Multiple Ethnic Groups,10,,0.42,
20220401,Other,8,,0.34,
20220401,Unknown,284,,11.98,
20220401,White,2035,,85.83,
20220501,African,,c,,c
20220501,"Asian, Asian Scottish or Asian British",11,,0.93,
20220501,Caribbean or Black,,c,,c
20220501,Mixed or Multiple Ethnic Groups,,c,,c
20220501,Other,10,,0.85,
20220501,Unknown,178,,15.05,
20220501,White,978,,82.67,
20220601,African,5,,0.21,
20220601,"Asian, Asian Scottish or Asian British",20,,0.84,
20220601,Caribbean or Black,,c,,c
20220601,Mixed or Multiple Ethnic Groups,13,,0.55,
20220601,Other,15,,0.63,
20220601,Unknown,333,,13.97,
20220601,White,1996,,83.72,
20220701,African,,c,,c
20220701,"Asian, Asian Scottish or Asian British",53,,1.87,
20220701,Caribbean or Black,,c,,c
20220701,Mixed or Multiple Ethnic Groups,15,,0.53,
20220701,Other,15,,0.53,
20220701,Unknown,383,,13.5,
20220701,White,2366,,83.37,
20220801,African,5,,0.39,
20220801,"Asian, Asian Scottish or Asian British",33,,2.59,
20220801,Caribbean or Black,,c,,c
20220801,Mixed or Multiple Ethnic Groups,6,,0.47,
20220801,Other,10,,0.79,
20220801,Unknown,164,,12.88,
20220801,White,1053,,82.72,
20220901,African,6,,0.54,
20220901,"Asian, Asian Scottish or Asian British",21,,1.9,
20220901,Caribbean or Black,,c,,c
20220901,Mixed or Multiple Ethnic Groups,,c,,c
20220901,Other,5,,0.45,
20220901,Unknown,121,,10.94,
20220901,White,946,,85.53,
20221001,African,,c,,c
20221001,"Asian, Asian Scottish or Asian British",22,,2.13,
20221001,Caribbean or Black,,c,,c
20221001,Mixed or Multiple Ethnic Groups,,c,,c
20221001,Other,13,,1.26,
20221001,Unknown,128,,12.38,
20221001,White,867,,83.85,
20221101,African,,c,,c
20221101,"Asian, Asian Scottish or Asian British",12,,1.54,
20221101,Caribbean or Black,,c,,c
20221101,Mixed or Multiple Ethnic Groups,9,,1.16,
20221101,Other,6,,0.77,
20221101,Unknown,102,,13.09,
20221101,White,647,,83.06,
20221201,African,,c,,c
20221201,"Asian, Asian Scottish or Asian British",20,,1.36,
