ethnicity,number_admitted,number_admitted_qf,percent_admitted,percent_admitted_qf,date,year,month,day,week,weekday,season
mixed_or_multiple_ethnic_groups,18,NA,0.47,NA,2021-01-01,2021,1,1,1,Fri,winter
other,13,NA,0.34,NA,2021-01-01,2021,1,1,1,Fri,winter
unknown,501,NA,13.17,NA,2021-01-01,2021,1,1,1,Fri,winter
white,3168,NA,83.3,NA,2021-01-01,2021,1,1,1,Fri,winter
african,7,NA,0.39,NA,2021-02-01,2021,2,1,5,Mon,winter
"asian,_asian_scottish_or_asian_british",46,NA,2.55,NA,2021-02-01,2021,2,1,5,Mon,winter
caribbean_or_black,NA,c,NA,c,2021-02-01,2021,2,1,5,Mon,winter
mixed_or_multiple_ethnic_groups,7,NA,0.39,NA,2021-02-01,2021,2,1,5,Mon,winter
other,9,NA,0.5,NA,2021-02-01,2021,2,1,5,Mon,winter
unknown,277,NA,15.35,NA,2021-02-01,2021,2,1,5,Mon,winter
white,1457,NA,80.72,NA,2021-02-01,2021,2,1,5,Mon,winter
african,NA,c,NA,c,2021-03-01,2021,3,1,9,Mon,spring
"asian,_asian_scottish_or_asian_british",58,NA,7.34,NA,2021-03-01,2021,3,1,9,Mon,spring
caribbean_or_black,NA,c,NA,c,2021-03-01,2021,3,1,9,Mon,spring
mixed_or_multiple_ethnic_groups,5,NA,0.63,NA,2021-03-01,2021,3,1,9,Mon,spring
other,7,NA,0.89,NA,2021-03-01,2021,3,1,9,Mon,spring
unknown,108,NA,13.67,NA,2021-03-01,2021,3,1,9,Mon,spring
white,606,NA,76.71,NA,2021-03-01,2021,3,1,9,Mon,spring
african,NA,c,NA,c,2021-04-01,2021,4,1,13,Thu,spring
"asian,_asian_scottish_or_asian_british",34,NA,9.91,NA,2021-04-01,2021,4,1,13,Thu,spring
caribbean_or_black,NA,c,NA,c,2021-04-01,2021,4,1,13,Thu,spring
mixed_or_multiple_ethnic_groups,6,NA,1.75,NA,2021-04-01,2021,4,1,13,Thu,spring
other,10,NA,2.92,NA,2021-04-01,2021,4,1,13,Thu,spring
unknown,53,NA,15.45,NA,2021-04-01,2021,4,1,13,Thu,spring
white,236,NA,68.8,NA,2021-04-01,2021,4,1,13,Thu,spring
african,8,NA,2.23,NA,2021-05-01,2021,5,1,18,Sat,spring
"asian,_asian_scottish_or_asian_british",92,NA,25.63,NA,2021-05-01,2021,5,1,18,Sat,spring
caribbean_or_black,5,NA,1.39,NA,2021-05-01,2021,5,1,18,Sat,spring
mixed_or_multiple_ethnic_groups,13,NA,3.62,NA,2021-05-01,2021,5,1,18,Sat,spring
other,8,NA,2.23,NA,2021-05-01,2021,5,1,18,Sat,spring
unknown,60,NA,16.71,NA,2021-05-01,2021,5,1,18,Sat,spring
white,173,NA,48.19,NA,2021-05-01,2021,5,1,18,Sat,spring
african,12,NA,1.43,NA,2021-06-01,2021,6,1,22,Tue,summer
"asian,_asian_scottish_or_asian_british",37,NA,4.42,NA,2021-06-01,2021,6,1,22,Tue,summer
caribbean_or_black,5,NA,0.6,NA,2021-06-01,2021,6,1,22,Tue,summer
mixed_or_multiple_ethnic_groups,13,NA,1.55,NA,2021-06-01,2021,6,1,22,Tue,summer
other,9,NA,1.07,NA,2021-06-01,2021,6,1,22,Tue,summer
unknown,142,NA,16.95,NA,2021-06-01,2021,6,1,22,Tue,summer
white,620,NA,73.99,NA,2021-06-01,2021,6,1,22,Tue,summer
african,15,NA,0.85,NA,2021-07-01,2021,7,1,26,Thu,summer
"asian,_asian_scottish_or_asian_british",47,NA,2.66,NA,2021-07-01,2021,7,1,26,Thu,summer
caribbean_or_black,5,NA,0.28,NA,2021-07-01,2021,7,1,26,Thu,summer
mixed_or_multiple_ethnic_groups,17,NA,0.96,NA,2021-07-01,2021,7,1,26,Thu,summer
other,17,NA,0.96,NA,2021-07-01,2021,7,1,26,Thu,summer
unknown,268,NA,15.16,NA,2021-07-01,2021,7,1,26,Thu,summer
white,1399,NA,79.13,NA,2021-07-01,2021,7,1,26,Thu,summer
african,9,NA,0.62,NA,2021-08-01,2021,8,1,31,Sun,summer
"asian,_asian_scottish_or_asian_british",28,NA,1.92,NA,2021-08-01,2021,8,1,31,Sun,summer
caribbean_or_black,NA,c,NA,c,2021-08-01,2021,8,1,31,Sun,summer
mixed_or_multiple_ethnic_groups,8,NA,0.55,NA,2021-08-01,2021,8,1,31,Sun,summer
other,8,NA,0.55,NA,2021-08-01,2021,8,1,31,Sun,summer
unknown,214,NA,14.65,NA,2021-08-01,2021,8,1,31,Sun,summer
white,1190,NA,81.45,NA,2021-08-01,2021,8,1,31,Sun,summer
african,20,NA,0.63,NA,2021-09-01,2021,9,1,35,Wed,autumn
"asian,_asian_scottish_or_asian_british",73,NA,2.29,NA,2021-09-01,2021,9,1,35,Wed,autumn
caribbean_or_black,8,NA,0.25,NA,2021-09-01,2021,9,1,35,Wed,autumn
mixed_or_multiple_ethnic_groups,11,NA,0.35,NA,2021-09-01,2021,9,1,35,Wed,autumn
other,14,NA,0.44,NA,2021-09-01,2021,9,1,35,Wed,autumn
unknown,450,NA,14.12,NA,2021-09-01,2021,9,1,35,Wed,autumn
white,2611,NA,81.93,NA,2021-09-01,2021,9,1,35,Wed,autumn
african,NA,c,NA,c,2021-10-01,2021,10,1,40,Fri,autumn
"asian,_asian_scottish_or_asian_british",46,NA,1.97,NA,2021-10-01,2021,10,1,40,Fri,autumn
caribbean_or_black,7,NA,0.3,NA,2021-10-01,2021,10,1,40,Fri,autumn
mixed_or_multiple_ethnic_groups,8,NA,0.34,NA,2021-10-01,2021,10,1,40,Fri,autumn
other,14,NA,0.6,NA,2021-10-01,2021,10,1,40,Fri,autumn
unknown,315,NA,13.48,NA,2021-10-01,2021,10,1,40,Fri,autumn
white,1945,NA,83.26,NA,2021-10-01,2021,10,1,40,Fri,autumn
african,7,NA,0.38,NA,2021-11-01,2021,11,1,44,Mon,autumn
"asian,_asian_scottish_or_asian_british",27,NA,1.47,NA,2021-11-01,2021,11,1,44,Mon,autumn
caribbean_or_black,NA,c,NA,c,2021-11-01,2021,11,1,44,Mon,autumn
mixed_or_multiple_ethnic_groups,9,NA,0.49,NA,2021-11-01,2021,11,1,44,Mon,autumn
other,21,NA,1.15,NA,2021-11-01,2021,11,1,44,Mon,autumn
unknown,281,NA,15.34,NA,2021-11-01,2021,11,1,44,Mon,autumn
white,1483,NA,80.95,NA,2021-11-01,2021,11,1,44,Mon,autumn
african,6,NA,0.32,NA,2021-12-01,2021,12,1,48,Wed,winter
"asian,_asian_scottish_or_asian_british",41,NA,2.21,NA,2021-12-01,2021,12,1,48,Wed,winter
caribbean_or_black,NA,c,NA,c,2021-12-01,2021,12,1,48,Wed,winter
mixed_or_multiple_ethnic_groups,14,NA,0.76,NA,2021-12-01,2021,12,1,48,Wed,winter
other,7,NA,0.38,NA,2021-12-01,2021,12,1,48,Wed,winter
unknown,293,NA,15.8,NA,2021-12-01,2021,12,1,48,Wed,winter
white,1490,NA,80.37,NA,2021-12-01,2021,12,1,48,Wed,winter
african,14,NA,0.52,NA,2022-01-01,2022,1,1,1,Sat,winter
"asian,_asian_scottish_or_asian_british",70,NA,2.58,NA,2022-01-01,2022,1,1,1,Sat,winter
caribbean_or_black,NA,c,NA,c,2022-01-01,2022,1,1,1,Sat,winter
mixed_or_multiple_ethnic_groups,9,NA,0.33,NA,2022-01-01,2022,1,1,1,Sat,winter
other,24,NA,0.88,NA,2022-01-01,2022,1,1,1,Sat,winter
unknown,347,NA,12.79,NA,2022-01-01,2022,1,1,1,Sat,winter
white,2245,NA,82.75,NA,2022-01-01,2022,1,1,1,Sat,winter
african,5,NA,0.26,NA,2022-02-01,2022,2,1,5,Tue,winter
